"Name","Instance Count","Size (bytes)"
"java.util.stream.Collectors$$Lambda.0x00000008000efe08",69,1656
"java.util.stream.ReferencePipeline$3",69,3864
"java.util.stream.ReferencePipeline$3$1",69,1656
"org.springframework.http.HttpStatus",69,2760
"sun.reflect.generics.reflectiveObjects.TypeVariableImpl",69,2208
"sun.reflect.generics.tree.MethodTypeSignature",69,2208
"sun.reflect.generics.tree.TypeSignature[ ]",69,1624
"com.sun.jmx.mbeanserver.PerInterface$MethodAndSig",68,1632
"java.lang.invoke.LambdaForm$Kind",68,2176
"javax.management.MBeanAttributeInfo",68,2176
"java.lang.invoke.BoundMethodHandle$Species_LLLLL",67,3752
"java.util.Spliterators$ArraySpliterator",66,2640
"jdk.proxy1.$Proxy5",66,1056
"org.springframework.boot.autoconfigure.condition.OnBeanCondition",66,1584
"java.lang.reflect.Executable$ParameterData",65,1560
"javax.management.MBeanOperationInfo",65,2600
"org.apache.tomcat.util.buf.CharChunk",65,3120
"sun.reflect.annotation.AnnotationType",65,2080
"sun.reflect.generics.repository.MethodRepository",65,2600
"sun.reflect.generics.scope.MethodScope",65,1560
"java.util.KeyValueHolder",64,1536
"jdk.proxy2.$Proxy11",64,1024
"org.apache.tomcat.util.buf.MessageBytes",64,3072
"java.lang.invoke.DirectMethodHandle$Accessor",63,3024
"java.security.ProtectionDomain[ ]",63,3192
"java.util.TreeSet",63,1008
"jdk.internal.reflect.MethodHandleObjectFieldAccessorImpl",63,2016
"org.springframework.asm.Type",63,2016
"org.springframework.boot.autoconfigure.condition.OnClassCondition",63,1512
"org.springframework.core.type.StandardAnnotationMetadata",63,2016
"org.springframework.format.support.FormattingConversionService$AnnotationParserConverter",63,2016
"org.springframework.format.support.FormattingConversionService$AnnotationPrinterConverter",63,2016
"com.fasterxml.jackson.databind.type.TypeBindings",62,1984
"java.lang.module.ResolvedModule",62,1488
"jdk.internal.module.SystemModuleFinders$SystemModuleReader",62,1488
"jdk.proxy1.$Proxy1",62,992
"com.fasterxml.jackson.databind.type.TypeBindings$AsKey",61,1464
"javax.management.MBeanParameterInfo",61,1952
"jdk.internal.loader.BuiltinClassLoader$LoadedModule",61,1952
"org.springframework.boot.loader.net.protocol.jar.JarUrlConnection",61,4880
"org.springframework.http.server.ServletServerHttpRequest",61,1952
"com.google.gson.JsonArray",60,960
"java.lang.invoke.MethodHandles$Lookup",60,1920
"java.security.AccessControlContext",60,2400
"java.util.TreeMap$KeySet",60,960
"java.util.UUID",60,1920
"jdk.internal.module.ModuleReferenceImpl$CachedHash",60,1440
"jdk.proxy2.$Proxy29",60,960
"org.springframework.boot.loader.net.protocol.nested.NestedUrlConnection",60,4320
"java.lang.invoke.DirectMethodHandle$Interface",59,2360
"javax.management.MBeanAttributeInfo[ ]",59,3064
"javax.management.MBeanInfo",59,2832
"org.springframework.core.annotation.AnnotatedMethod$ReturnValueMethodParameter",59,4720
"org.springframework.boot.loader.net.protocol.nested.NestedLocation$$Lambda.0x00000008001bf8b0",58,928
"com.jprofiler.agent.probe.structures.n[ ]",57,1368
"java.lang.WeakPairMap$Pair$Weak",57,2280
"java.lang.WeakPairMap$Pair$Weak$1",57,1824
"jdk.internal.org.objectweb.asm.Frame",57,2736
"ca.concordia.encs.citydata.core.RouteController$$Lambda.0x000000080067e278",56,1344
"java.io.ObjectStreamField[ ]",56,1640
"java.util.Vector",56,1792
"java.util.stream.Nodes$FixedNodeBuilder",56,1344
"org.springframework.core.annotation.AnnotationTypeMappings$$Lambda.0x0000000800665590",56,896
"org.springframework.util.LinkedMultiValueMap",56,896
"org.springframework.web.servlet.mvc.condition.PathPatternsRequestCondition",56,896
"sun.reflect.generics.tree.TypeVariableSignature",56,896
"org.springframework.web.servlet.mvc.method.RequestMappingInfo",55,3080
"java.io.FilePermission",54,2160
"java.security.spec.ECPoint",54,1296
"java.util.HashMap$Values",54,864
"org.springframework.context.event.AbstractApplicationEventMulticaster$ListenerCacheKey",54,1296
"org.springframework.core.SerializableTypeWrapper$MethodInvokeTypeProvider",54,2160
"com.jprofiler.agent.triggers.nanoxml.XMLElement",53,2544
"java.lang.Thread$FieldHolder",53,2120
"java.lang.invoke.BoundMethodHandle$Species_LLLL",53,2544
"java.security.spec.EllipticCurve",53,1696
"java.util.concurrent.ConcurrentHashMap$ValueIterator",53,2968
"org.springframework.http.server.DefaultPathContainer",53,1272
"sun.security.util.NamedCurve",53,2120
"sun.security.util.ObjectIdentifier",53,1696
"java.net.URLClassLoader$1",52,1248
"java.util.concurrent.ConcurrentLinkedQueue$Node",52,1248
"jdk.internal.loader.URLClassPath$Loader$1",52,1664
"org.springframework.boot.loader.jar.NestedJarFile$JarEntryInflaterInputStream",52,2912
"org.springframework.boot.loader.jar.NestedJarFile$JarEntryInputStream",52,2496
"org.springframework.boot.loader.jar.NestedJarFileResources$$Lambda.0x00000008006b35f0",52,1248
"org.springframework.core.MethodParameter$$Lambda.0x0000000800653a10",52,832
"org.springframework.core.annotation.AttributeMethods",52,1664
"sun.reflect.generics.visitor.Reifier",52,1248
"java.security.SecureClassLoader$1",51,816
"java.time.format.DateTimeFormatterBuilder$CharLiteralPrinterParser",51,816
"java.util.concurrent.atomic.AtomicIntegerArray",51,816
"org.springframework.core.DefaultParameterNameDiscoverer",51,816
"org.springframework.core.StandardReflectionParameterNameDiscoverer",51,816
"java.lang.ClassNotFoundException",50,2000
"java.lang.ClassValue$Entry",50,1600
"java.util.concurrent.LinkedBlockingQueue$Node",50,1200
"javax.management.MBeanParameterInfo[ ]",50,1232
"jdk.internal.event.DeserializationEvent",50,4000
"org.springframework.boot.loader.zip.ZipLocalFileHeaderRecord",50,2000
"org.springframework.util.MimeType$$Lambda.0x00000008006ce238",50,1200
"java.util.concurrent.ConcurrentHashMap$KeySetView",49,1176
"javax.management.MBeanOperationInfo[ ]",49,1712
"javax.management.openmbean.OpenMBeanAttributeInfoSupport",49,3136
"org.apache.coyote.ActionCode",49,1176
"org.springframework.util.MimeType$$Lambda.0x0000000800665360",49,784
"org.springframework.web.method.support.HandlerMethodArgumentResolverComposite",49,1176
"sun.reflect.generics.parser.SignatureParser",49,1176
"java.io.FilePermissionCollection",48,1152
"java.net.InetAddress$InetAddressHolder",48,1536
"java.time.format.DateTimeFormatterBuilder$NumberPrinterParser",48,1536
"java.util.HashMap$KeySpliterator",48,1920
"java.util.concurrent.ConcurrentHashMap$ValuesView",48,768
"org.apache.catalina.util.ParameterMap",48,1152
"org.apache.tomcat.util.net.NioEndpoint$SocketProcessor",48,1152
"java.lang.invoke.VarHandle$AccessDescriptor",47,1880
"java.util.TreeMap$Values",47,752
"org.apache.catalina.connector.CoyoteOutputStream",47,752
"org.apache.catalina.connector.RequestFacade",47,752
"org.apache.catalina.connector.ResponseFacade",47,752
"org.apache.catalina.core.ApplicationMapping$MappingImpl",47,1504
"org.apache.tomcat.util.net.NioEndpoint$PollerEvent",47,1128
"org.springframework.context.i18n.SimpleLocaleContext",47,752
"org.springframework.http.server.DefaultRequestPath",47,1128
"org.springframework.http.server.ServletServerHttpResponse",47,1504
"org.springframework.http.server.ServletServerHttpResponse$$Lambda.0x0000000800699c48",47,752
"org.springframework.http.server.ServletServerHttpResponse$ServletResponseHttpHeaders",47,1128
"org.springframework.validation.support.BindingAwareModelMap",47,3008
"org.springframework.web.bind.support.SimpleSessionStatus",47,752
"org.springframework.web.context.request.async.WebAsyncManager",47,2256
"org.springframework.web.context.support.ServletRequestHandledEvent",47,3008
"org.springframework.web.method.support.ModelAndViewContainer",47,2256
"org.springframework.web.servlet.DispatcherServlet$$Lambda.0x00000008006c7360",47,1128
"org.springframework.web.servlet.FlashMap",47,3008
"org.springframework.web.servlet.FrameworkServlet$RequestBindingInterceptor",47,752
"org.springframework.web.servlet.HandlerExecutionChain",47,1128
"org.springframework.web.servlet.mvc.method.annotation.AbstractMessageConverterMethodProcessor$$Lambda.0x0000000800655c00",47,752
"org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod",47,4136
"java.util.TreeMap$ValueIterator",46,1472
"org.apache.tomcat.util.http.parser.Host$MessageBytesReader",46,1840
"org.springframework.web.servlet.DispatcherServlet$$Lambda.0x00000008006c84b8",46,1104
"org.springframework.beans.factory.config.BeanDefinitionHolder",45,1080
"org.springframework.core.annotation.AnnotationTypeMappings",45,1080
"org.springframework.format.support.FormattingConversionService$ParserConverter",45,1080
"org.springframework.format.support.FormattingConversionService$PrinterConverter",45,1440
"com.sun.management.internal.DiagnosticCommandArgumentInfo[ ]",44,1136
"com.sun.management.internal.DiagnosticCommandImpl$Wrapper",44,1408
"com.sun.management.internal.DiagnosticCommandInfo",44,2112
"java.time.format.DateTimeFormatterBuilder$CompositePrinterParser",44,1056
"java.time.format.DateTimeFormatterBuilder$DateTimePrinterParser[ ]",44,1536
"jdk.internal.reflect.ConstantPool",44,704
"org.springframework.http.HttpHeaders",44,704
"sun.nio.ch.SocketOptionRegistry$RegistryKey",44,1056
"com.jprofiler.agent.q$a",43,1032
"jdk.internal.loader.NativeLibraries",43,1376
"java.io.ObjectStreamClass$FieldReflectorKey",42,1008
