"Name","Instance Count","Size (bytes)"
"sun.invoke.util.ValueConversions$WrapperCache",15,240
"java.lang.Thread",14,1568
"java.lang.invoke.MethodHandles$Lookup",14,448
"java.util.logging.LogManager$LoggerWeakRef",14,672
"java.util.regex.Pattern$$Lambda.0x000000013e132220",14,224
"javax.management.openmbean.SimpleType",14,560
"jdk.internal.constant.ArrayClassDescImpl",14,336
"org.apache.bcel.classfile.Field",14,672
"org.apache.logging.log4j.core.lookup.SystemPropertiesLookup",14,224
"java.lang.invoke.DirectMethodHandle$Interface",13,520
"javax.management.MBeanNotificationInfo",13,416
"javax.management.openmbean.CompositeType",13,728
"pom.util.CacheManager",13,208
"sun.security.jca.ProviderConfig",13,416
"com.ibm.toad.cfparse.ConstantPool$InvokeDynamicEntry",12,288
"java.nio.HeapByteBuffer",12,672
"jdk.internal.constant.DirectMethodHandleDescImpl",12,384
"jdk.internal.loader.AbstractClassLoaderValue$Sub",12,288
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CompositeMapping",11,440
"java.lang.OutOfMemoryError",11,440
"java.lang.constant.DirectMethodHandleDesc$Kind",11,352
"java.util.Collections$UnmodifiableRandomAccessList",11,264
"java.util.Collections$UnmodifiableSet",11,176
"java.util.concurrent.locks.ReentrantLock",11,176
"org.apache.logging.log4j.core.pattern.PatternFormatter",11,264
"pom.test.classfile.general.TestCouplingCohesionMetrics",11,176
"java.lang.classfile.TypeKind",10,400
"java.lang.invoke.MethodHandleImpl$Intrinsic",10,240
"java.lang.reflect.AccessFlag[ ]",10,832
"java.nio.charset.CoderResult",10,240
"java.nio.file.StandardOpenOption",10,240
"java.util.Collections$SingletonSet",10,160
"java.util.regex.Pattern$Curly",10,320
"pom.test.classfile.general.TestClassPrimitives",10,240
"pom.test.classfile.specific.TestCache",10,160
"sun.invoke.util.Wrapper",10,720
"sun.nio.cs.UTF_8$Encoder",10,480
"java.lang.StringConcatHelper$Concat1",9,216
"java.lang.reflect.AccessFlag$Location",9,288
"java.nio.DirectByteBuffer",9,576
"java.util.logging.Level",9,288
"java.util.logging.Level$KnownLevel",9,288
"jdk.internal.constant.PrimitiveClassDescImpl",9,360
"org.apache.bcel.generic.BasicType",9,216
"org.apache.logging.log4j.core.impl.ThreadContextDataInjector$ForCopyOnWriteThreadContextMap",9,144
"padl.creator.classfile.util.Utils$1",9,144
"pom.test.classfile.general.TestOperators",9,432
"pom.test.classfile.specific.TestCBO",9,144
"sun.util.logging.PlatformLogger$Level",9,288
"boolean[ ]",8,1184
"com.jprofiler.agent.probe.f.a$a",8,128
"com.jprofiler.api.agent.probe.DataType",8,128
"java.io.OutputStreamWriter",8,192
"java.lang.ClassValue$Entry",8,192
"java.lang.reflect.ProxyGenerator$PrimitiveTypeInfo",8,320
"java.math.RoundingMode",8,256
"java.util.RegularEnumSet",8,256
"java.util.regex.Pattern$GroupHead",8,192
"java.util.regex.Pattern$GroupTail",8,192
"javax.management.MBeanConstructorInfo",8,256
"jdk.internal.logger.LazyLoggers$JdkLazyLogger",8,128
"jdk.internal.logger.LazyLoggers$LazyLoggerAccessor",8,320
"org.apache.logging.log4j.Level",8,192
"org.apache.logging.log4j.MarkerManager$Log4jMarker",8,192
"org.apache.logging.log4j.core.lookup.JmxRuntimeInputArgumentsLookup",8,128
"org.apache.logging.log4j.core.lookup.MapLookup",8,128
"org.apache.logging.log4j.spi.StandardLevel",8,256
"padl.creator.classfile.CompleteClassFileCreator",8,256
"sun.management.MemoryPoolImpl",8,448
"sun.management.MemoryPoolImpl$CollectionSensor",8,320
"sun.management.MemoryPoolImpl$PoolSensor",8,320
"sun.nio.cs.StreamEncoder",8,384
"sun.nio.fs.UnixPath",8,256
"com.jprofiler.api.agent.probe.Unit",7,112
"java.io.PrintWriter",7,280
"java.lang.ClassValue$Entry[ ]",7,888
"java.lang.String$$StringConcat.0x000000013e204c00",7,168
"java.lang.System$Logger$Level",7,224
"java.lang.classfile.attribute.StackMapFrameInfo$SimpleVerificationTypeInfo",7,224
"java.lang.invoke.BoundMethodHandle$SpeciesData",7,336
"java.lang.invoke.BoundMethodHandle$SpeciesData[ ]",7,280
"java.lang.invoke.StringConcatFactory$InlineHiddenClassStrategy$MethodHandlePair",7,168
"java.util.concurrent.ConcurrentHashMap$KeySetView",7,168
"java.util.concurrent.TimeUnit",7,560
"jdk.internal.classfile.impl.AnnotationImpl",7,168
"org.apache.logging.log4j.core.lookup.ConfigurationStrSubstitutor",7,336
"org.apache.logging.log4j.core.lookup.ContextMapLookup",7,112
"org.apache.logging.log4j.core.lookup.DateLookup",7,112
"org.apache.logging.log4j.core.lookup.EnvironmentLookup",7,112
"org.apache.logging.log4j.core.lookup.EventLookup",7,112
"org.apache.logging.log4j.core.lookup.Interpolator",7,224
"org.apache.logging.log4j.core.lookup.JavaLookup",7,112
"org.apache.logging.log4j.core.lookup.Log4jLookup",7,112
"org.apache.logging.log4j.core.lookup.LowerLookup",7,112
"org.apache.logging.log4j.core.lookup.MainMapLookup",7,112
"org.apache.logging.log4j.core.lookup.MarkerLookup",7,112
"org.apache.logging.log4j.core.lookup.PropertiesLookup",7,168
"org.apache.logging.log4j.core.lookup.ResourceBundleLookup",7,112
"org.apache.logging.log4j.core.lookup.StructuredDataLookup",7,112
"org.apache.logging.log4j.core.lookup.UpperLookup",7,112
"util.io.ExtensionBasedFilenameFilter",7,112
"util.io.SubtypeLoader$ClassNameAlphabeticalComparator",7,112
"util.lang.ConcreteReceiverGuard$1ConcreteReceiverGuardThrownException",7,280
"com.ibm.toad.cfparse.attributes.UnknownAttrInfo",6,192
"com.jprofiler.agent.f.a.e",6,192
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CollectionMapping",6,192
"java.lang.ClassValue$ClassValueMap",6,384
"java.lang.NumberFormatException",6,240
"java.lang.String$$StringConcat.0x000000013e220800",6,144
"java.lang.Thread$State",6,144
"java.lang.ThreadLocal$ThreadLocalMap",6,144
"java.lang.ThreadLocal$ThreadLocalMap$Entry[ ]",6,544
"java.lang.invoke.LambdaForm$BasicType",6,240
"java.nio.DirectLongBufferU",6,336
"java.util.Collections$UnmodifiableMap",6,192
"java.util.EnumMap",6,240
"java.util.Properties",6,336
"java.util.ResourceBundle$KeyElementReference",6,192
"java.util.TreeMap$ValueIterator",6,192
"java.util.concurrent.ConcurrentHashMap$EntrySetView",6,96
"java.util.stream.StreamOpFlag",6,288
"javax.management.StandardEmitterMBean",6,192
"jdk.internal.classfile.impl.AbstractPoolEntry$ClassEntryImpl",6,240
"jdk.internal.classfile.impl.AttributeHolder",6,144
"jdk.internal.classfile.impl.UnboundAttribute$UnboundRuntimeVisibleAnnotationsAttribute",6,144
"jdk.internal.loader.ClassLoaderValue",6,96
"jdk.internal.loader.NativeLibraries$NativeLibraryImpl",6,240
"jdk.internal.perf.PerfCounter",6,144
"jdk.proxy1.$Proxy1",6,96
"org.apache.logging.log4j.core.LifeCycle$State",6,144
"padl.kernel.impl.GenericContainerOfTopLevelEntities$1",6,96
